Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,Total government revenue as a proportion of GDP [17.1.1],,Percent,,14.6
2017,Normal value,Units,Country Data,National_SDG_Report,Total government revenue as a proportion of GDP [17.1.1],,Percent,,15.0
2018,Normal value,Units,Country Data,National_SDG_Report,Total government revenue as a proportion of GDP [17.1.1],,Percent,,15.7
