Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2013,A,0,C,National_SDG_Report,_L_CM_030302_1,,PER_100000_POP,,125
2013,A,0,C,National_SDG_Report,_L_CM_030302_2,,PER_100000_POP,,72
