Year,Value,SERIES
2012,4.5,_L_CM_080101_1
2013,5.4,_L_CM_080101_1
2014,5.9,_L_CM_080101_1
2015,5.7,_L_CM_080101_1
2016,4.6,_L_CM_080101_1
2017,3.5,_L_CM_080101_1
2018,4.1,_L_CM_080101_1
2012,2.0,_L_CM_080101_2
2013,2.9,_L_CM_080101_2
2014,3.2,_L_CM_080101_2
2015,3.2,_L_CM_080101_2
2016,2.0,_L_CM_080101_2
2017,2.7,_L_CM_080101_2
2018,2.9,_L_CM_080101_2
