Year,Value,SERIES
2015,42,_L_CM_040a01_1
2016,48,_L_CM_040a01_1
2015,23,_L_CM_040a01_2
2016,28,_L_CM_040a01_2
2015,57,_L_CM_040a01_3
2016,59,_L_CM_040a01_3
2015,60,_L_CM_040a01_4
2016,60,_L_CM_040a01_4
2015,46,_L_CM_040a01_5
2016,45,_L_CM_040a01_5
2015,73,_L_CM_040a01_6
2016,70,_L_CM_040a01_6
