Year,Value,UNIT_MEASURE,SERIES
2010,14.5,PT,NV_IND_MANF
2011,14.7,PT,NV_IND_MANF
2012,15.1,PT,NV_IND_MANF
2013,15.0,PT,NV_IND_MANF
2014,14.4,PT,NV_IND_MANF
2015,14.7,PT,NV_IND_MANF
2016,14.9,PT,NV_IND_MANF
2017,15.1,PT,NV_IND_MANF
2010,659.011,CUR_LCU,NV_IND_MANFPC
2012,108.6,CUR_LCU,NV_IND_MANFPC
2013,113.3,CUR_LCU,NV_IND_MANFPC
2015,120.9,CUR_LCU,NV_IND_MANFPC
2017,132.2,CUR_LCU,NV_IND_MANFPC
