Year,Value,SERIES
2011,30.0,_L_CM_030303_1
2014,30.0,_L_CM_030303_1
2018,24.0,_L_CM_030303_1
2004,53.1,_L_CM_030303_2
2011,23.1,_L_CM_030303_2
2018,59.0,_L_CM_030303_2
