Indicator,Disaggregation combinations using this value
#1-4-1,4
#14-5-1,5
#15-3-1,2
#15-5-1,2
#15-b-1,1
#17-8-1,4
#2-1-1,1
#2-1-2,2
#4-1-1,2
#4-a-1,6
#6-1-1,3
#6-2-1,3
#6-6-1,1
#7-1-1,6
#8-3-1,3
#8-5-2,6
#8-7-1,5
#9-3-1,2
#9-5-1,2
#9-b-1,1
