Indicator,Disaggregation combinations using this value
#1-2-1,1
#16-1-1,1
#16-1-4,1
#16-2-1,1
#16-b-1,1
#17-8-1,1
#2-2-1,1
#3-3-1,1
#3-8-1,1
#3-a-1,1
#4-1-1,3
#4-2-1,2
#4-6-1,1
#4-c-1,1
#5-4-1,2
#5-b-1,1
#8-3-1,1
#8-5-1,1
#8-5-2,1
#8-6-1,1
#8-7-1,2
#9-c-1,1
