Value,Disaggregation combinations using this value,Number of indicators
CM_AD,9,7
CM_CE,3,2
CM_CE_Sans_YDE,6,5
CM_DLA,6,5
CM_EN,9,7
CM_ES,9,7
CM_LT,3,2
CM_LT_Sans_DLA,6,5
CM_NO,9,7
CM_NW,9,7
CM_OU,9,7
CM_SU,9,7
CM_SW,9,7
CM_YDE,6,5
