Indicator
#1-4-1
#1-4-2
#2-1-2
#2-2-2
#2-3-2
#3-2-1
#3-3-2
#3-3-3
#3-4-1
#3-6-1
#4-1-1
#4-2-1
#4-a-1
#4-c-1
