Indicator
#1-1-1
#1-3-1
#1-5-1
#1-5-2
#1-5-3
#1-5-4
#1-a-1
#1-a-2
#1-b-1
#10-3-1
#10-4-1
#10-4-2
#10-5-1
#10-6-1
#10-7-1
#10-7-2
#10-7-3
#10-7-4
#10-a-1
#10-b-1
#10-c-1
#11-2-1
#11-3-1
#11-3-2
#11-4-1
#11-5-1
#11-5-2
#11-5-3
#11-6-1
#11-6-2
#11-7-1
#11-7-2
#11-a-1
#11-b-1
#11-b-2
#12-1-1
#12-2-1
#12-2-2
#12-3-1
#12-4-1
#12-5-1
#12-6-1
#12-7-1
#12-8-1
#12-a-1
#12-b-1
#12-c-1
#13-1-1
#13-1-2
#13-1-3
#13-2-1
#13-2-2
#13-3-1
#13-a-1
#13-b-1
#14-1-1
#14-2-1
#14-3-1
#14-4-1
#14-6-1
#14-7-1
#14-a-1
#14-b-1
#14-c-1
#15-1-2
#15-4-1
#15-4-2
#15-6-1
#15-7-1
#15-8-1
#15-9-1
#15-a-1
#15-c-1
#16-1-2
#16-1-3
#16-10-1
#16-10-2
#16-2-2
#16-3-1
#16-3-3
#16-4-1
#16-4-2
#16-5-1
#16-6-1
#16-6-2
#16-7-2
#16-8-1
#16-a-1
#17-10-1
#17-12-1
#17-14-1
#17-15-1
#17-16-1
#17-17-1
#17-18-1
#17-18-2
#17-18-3
#17-19-2
#17-2-1
#17-3-1
#17-3-2
#17-4-1
#17-5-1
#17-6-1
#17-7-1
#17-9-1
#2-2-3
#2-3-1
#2-5-1
#2-5-2
#2-a-1
#2-a-2
#2-b-1
#2-c-1
#3-1-2
#3-3-4
#3-4-2
#3-5-2
#3-8-2
#3-9-1
#3-9-3
#3-b-1
#3-b-2
#3-b-3
#3-c-1
#3-d-1
#3-d-2
#4-1-2
#4-2-2
#4-4-1
#4-7-1
#4-b-1
#5-1-1
#5-2-2
#5-3-2
#5-5-1
#5-6-2
#5-a-1
#5-a-2
#5-c-1
#6-3-1
#6-3-2
#6-4-1
#6-4-2
#6-5-1
#6-5-2
#6-a-1
#6-b-1
#7-a-1
#7-b-1
#8-10-1
#8-10-2
#8-2-1
#8-4-1
#8-4-2
#8-8-1
#8-8-2
#8-9-1
#8-a-1
#8-b-1
#9-2-2
#9-3-2
#9-4-1
#9-5-2
#9-a-1
