Value,Disaggregation combinations using this value,Number of indicators
2007,1,1
2009,1,1
2011,17,3
2012,23,2
2013,21,6
2014,166,29
2015,22,8
2016,61,20
2017,18,9
2018,44,20
2020,2,1
2021,1,1
2022,8,1
2023,3,1
2024,1,1
