Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2017,A,0,C,National_SDG_Report,Proportion de ménages ayant accès à un réseau de téléphonie mobile (%),,,,PT,2017,,84.9
2017,A,0,C,National_SDG_Report,Proportion de ménages ayant accès à un réseau de téléphonie mobile (%),,,R,PT,2017,,77.4
2017,A,0,C,National_SDG_Report,Proportion de ménages ayant accès à un réseau de téléphonie mobile (%),,,U,PT,2017,,95.2
2017,A,0,C,National_SDG_Report,Proportion de ménages ayant accès à un réseau de téléphonie mobile (%),,F,,PT,2017,,82.7
2017,A,0,C,National_SDG_Report,Proportion de ménages ayant accès à un réseau de téléphonie mobile (%),,M,,PT,2017,,85.6
