From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,TIME_DETAIL
TIME_DETAIL,REF_AREA
TIME_DETAIL,URBANISATION
