From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,TIME_DETAIL
TIME_DETAIL,URBANISATION
TIME_DETAIL,EDUCATION_LEV
