Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,SH_H2O_SAFE,,U,PT,,93.2
2016,A,0,C,National_SDG_Report,SH_H2O_SAFE,,U,PT,,97.7
2014,A,0,C,National_SDG_Report,SH_H2O_SAFE,,R,PT,,54.2
2016,A,0,C,National_SDG_Report,SH_H2O_SAFE,,R,PT,,59.3
2014,A,0,C,National_SDG_Report,SH_H2O_SAFE,,,PT,,72.9
2016,A,0,C,National_SDG_Report,SH_H2O_SAFE,,,PT,,73.4
