Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,A,0,C,National_SDG_Report,GR_G14_GDP,,PT,,14.6
2017,A,0,C,National_SDG_Report,GR_G14_GDP,,PT,,15.0
2018,A,0,C,National_SDG_Report,GR_G14_GDP,,PT,,15.7
