Year,SERIES,Value
2015,_L_CM_040a01_3,57
2016,_L_CM_040a01_3,59
2015,_L_CM_040a01_1,42
2016,_L_CM_040a01_1,48
2015,_L_CM_040a01_2,23
2016,_L_CM_040a01_2,28
2015,_L_CM_040a01_4,60
2016,_L_CM_040a01_4,60
2015,_L_CM_040a01_5,46
2016,_L_CM_040a01_5,45
2015,_L_CM_040a01_6,73
2016,_L_CM_040a01_6,70
