Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_050201_1,,PT,2018,,52.6
2018,A,0,C,National_SDG_Report,_L_CM_050201_1,,PT,2018,,31.5
2014,A,0,C,National_SDG_Report,VC_VAW_PHYV,,PT,2018,,30.8
2018,A,0,C,National_SDG_Report,VC_VAW_PHYV,,PT,2018,,19.6
2014,A,0,C,National_SDG_Report,VC_VAW_PSYV,,PT,2018,,47.2
2018,A,0,C,National_SDG_Report,VC_VAW_PSYV,,PT,2018,,22.4
2014,A,0,C,National_SDG_Report,VC_VAW_SEXV,,PT,2018,,13.5
2018,A,0,C,National_SDG_Report,VC_VAW_SEXV,,PT,2018,,6.9
