Year,UNIT_MULT,SERIES,UNIT_MEASURE,Value
2010,0,NV_IND_MANF,PT,14.5
2011,0,NV_IND_MANF,PT,14.7
2012,0,NV_IND_MANF,PT,15.1
2013,0,NV_IND_MANF,PT,15.0
2014,0,NV_IND_MANF,PT,14.4
2015,0,NV_IND_MANF,PT,14.7
2016,0,NV_IND_MANF,PT,14.9
2017,0,NV_IND_MANF,PT,15.1
2010,3,NV_IND_MANFPC,CUR_LCU,659.011
2012,3,NV_IND_MANFPC,CUR_LCU,108.6
2013,3,NV_IND_MANFPC,CUR_LCU,113.3
2015,3,NV_IND_MANFPC,CUR_LCU,120.9
2017,3,NV_IND_MANFPC,CUR_LCU,132.2
