Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2017,A,0,C,National_SDG_Report,_L_CM_050501_1,,PT,2023,,20.0
2020,A,0,C,National_SDG_Report,_L_CM_050501_1,,PT,2023,,26.0
2023,A,0,C,National_SDG_Report,_L_CM_050501_1,,PT,2023,,33.0
2017,A,0,C,National_SDG_Report,_L_CM_050501_2,,PT,2023,,30.6
2018,A,0,C,National_SDG_Report,_L_CM_050501_2,,PT,2023,,31.11
2023,A,0,C,National_SDG_Report,_L_CM_050501_2,,PT,2023,,33.89
2017,A,0,C,National_SDG_Report,_L_CM_050501_3,,PT,2023,,8.3
2023,A,0,C,National_SDG_Report,_L_CM_050501_3,,PT,2023,,10.16
2017,A,0,C,National_SDG_Report,_L_CM_050501_4,,PT,2023,,31.8
2023,A,0,C,National_SDG_Report,_L_CM_050501_4,,PT,2023,,34.13
2015,A,0,C,National_SDG_Report,_L_CM_050501_5,,PT,2015,,6.0
