Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,IT_MOB_OWN,,F,PT,,66.3
2018,A,0,C,National_SDG_Report,IT_MOB_OWN,,F,PT,,63.6
2014,A,0,C,National_SDG_Report,IT_MOB_OWN,,M,PT,,79.4
2018,A,0,C,National_SDG_Report,IT_MOB_OWN,,M,PT,,77.3
2014,A,0,C,National_SDG_Report,IT_MOB_OWN,,,PT,,72.3
