Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_030801_1,,,PT,2018,,85.8
2018,A,0,C,National_SDG_Report,_L_CM_030801_1,,,PT,2018,,65.3
2018,A,0,C,National_SDG_Report,_L_CM_030801_1,,F,PT,2018,,65.9
2018,A,0,C,National_SDG_Report,_L_CM_030801_1,,M,PT,2018,,64.7
