Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2016,A,0,C,National_SDG_Report,IT_USE_II99,,,,PT,2018,,23.2
2018,A,0,C,National_SDG_Report,IT_USE_II99,,,,PT,2018,,35.0
2016,A,0,C,National_SDG_Report,IT_USE_II99,,,R,PT,2016,,9.3
2016,A,0,C,National_SDG_Report,IT_USE_II99,,,U,PT,2016,,45.8
2016,A,0,C,National_SDG_Report,IT_USE_II99,,F,,PT,2016,,19.2
2016,A,0,C,National_SDG_Report,IT_USE_II99,,M,,PT,2016,,27.4
