Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,,PT,,31.4
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_AD,PT,CM_AD,38.8
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_ES,PT,CM_ES,27.6
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_EN,PT,CM_EN,60.4
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_NO,PT,CM_NO,44.0
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_NW,PT,CM_NW,53.1
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_OU,PT,CM_OU,26.3
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_SU,PT,CM_SU,13.2
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_SW,PT,CM_SW,25.5
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_CE_Sans_YDE,PT,CM_CE_Sans_YDE,20.3
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_LT_Sans_DLA,PT,CM_LT_Sans_DLA,23.9
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_YDE,PT,CM_YDE,6.6
2014,A,0,C,National_SDG_Report,_L_CM_100201_01,CM_DLA,PT,CM_DLA,4.1
