Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_160201_01,,F,PT,,84.8
2014,A,0,C,National_SDG_Report,_L_CM_160201_01,,M,PT,,85.2
2014,A,0,C,National_SDG_Report,_L_CM_160201_01,,,PT,,85.0
