Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_040601_01,,,U,PT,,85.0
2014,A,0,C,National_SDG_Report,_L_CM_040601_01,,,R,PT,,48.0
2014,A,0,C,National_SDG_Report,_L_CM_040601_01,,F,,PT,,68.0
2014,A,0,C,National_SDG_Report,_L_CM_040601_01,,M,,PT,,83.0
2014,A,0,C,National_SDG_Report,_L_CM_040601_01,,,,PT,,80.0
2017,A,0,C,National_SDG_Report,_L_CM_040601_01,,,,PT,,83.0
2022,A,0,C,National_SDG_Report,_L_CM_040601_01,,,,PT,,83.3
