Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,Growth rates of household expenditure for the total household between 2007 and 2014(%),,Percent,,69.0
2014,Normal value,Units,Country Data,National_SDG_Report,Growth rates of household expenditure for the poorest 40% of the population between 2007 and 2014 (%),,Percent,,36.4
