Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2009,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,2016,,3.77
2010,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,2016,,3.56
2011,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,2016,,3.8
2012,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,2016,,3.87
2013,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,2016,,3.72
2014,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,2016,,3.72
2015,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,2016,,3.65
2016,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,2016,,3.89
