Year,Value,SERIES
2007,0.1,Share of Research and development (R & D) to GDP (%)
2010,0.05,Share of Research and development (R & D) to GDP (%)
2011,0.07,Share of Research and development (R & D) to GDP (%)
2012,0.06,Share of Research and development (R & D) to GDP (%)
2013,0.08,Share of Research and development (R & D) to GDP (%)
2014,0.08,Share of Research and development (R & D) to GDP (%)
2015,0.08,Share of Research and development (R & D) to GDP (%)
2016,0.09,Share of Research and development (R & D) to GDP (%)
2007,0.5,Share of Research and Development (R & D) to total investment (%)
2010,0.2,Share of Research and Development (R & D) to total investment (%)
2011,0.3,Share of Research and Development (R & D) to total investment (%)
2012,0.22,Share of Research and Development (R & D) to total investment (%)
2013,0.32,Share of Research and Development (R & D) to total investment (%)
2014,0.32,Share of Research and Development (R & D) to total investment (%)
2015,0.33,Share of Research and Development (R & D) to total investment (%)
2016,0.42,Share of Research and Development (R & D) to total investment (%)
