Year,Value,SERIES
2018,13.0,Proportion of women in government (%)
2017,30.5,Proportion of women in the national assembly (%)
2020,33.9,Proportion of women in the national assembly (%)
2017,8.0,Proportion of women in the municipal executive (Mayor) (%)
2017,20.0,Proportion of women in the Senate (%)
2020,26.0,Proportion of women in the Senate (%)
