Year,Value,GeoCode,SERIES
2014,33.0,,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or emotional/psychological violence (%)"
2014,33.0,,Proportion of the rural population who live within 2 km of an all-season road [9.1.1]
