Year,Value,SERIES
2017,20.0,Proportion of women in the Senate (%)
2020,26.0,Proportion of women in the Senate (%)
2023,33.0,Proportion of women in the Senate (%)
2017,30.6,Proportion of women in the national assembly (%)
2018,31.11,Proportion of women in the national assembly (%)
2023,33.89,Proportion of women in the national assembly (%)
2017,8.3,Proportion of women Mayors (%)
2023,10.16,Proportion of women Mayors (%)
2017,31.8,Proportion of women deputies to the mayor (%)
2023,34.13,Proportion of women deputies to the mayor (%)
2015,6.0,Proportion of women in the territorial command sphere (%)
