Year,Value,SERIES
2014,3.3,unemployment rate (ILO) (%)
2016,2.6,unemployment rate (ILO) (%)
2014,6.3,unemployment rate (ILO) (15-24 years) (%)
2016,6.3,unemployment rate (ILO) (15-24 years) (%)
2014,77.6,Underemployment rate of persons over 15 years (%)
