Year,Value,SERIES
2016,20.21,"Coverage of protected areas, in proportion to national area (%)"
2016,11.98,"Coverage of protected areas (ZIC and ZIC GC), in proportion to national area (%)"
2016,0.22,"Coverage of protected areas (Sanctuaries), in proportion to national area (%)"
2016,1.8,"Coverage of protected areas (Wildlife Reserves), in proportion to national area (%)"
2016,6.2,"Coverage of protected areas (National Parks), in proportion to national area (%)"
