Year,Value,SERIES
2011,5.6,Proportion of children moderately or severely wasted [2.2.2]
2014,5.2,Proportion of children moderately or severely wasted [2.2.2]
2018,6.0,Proportion of children moderately or severely wasted [2.2.2]
2011,6.2,Proportion of children moderately or severely overweight [2.2.2]
2014,6.7,Proportion of children moderately or severely overweight [2.2.2]
2018,11.0,Proportion of children moderately or severely overweight [2.2.2]
