Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_140501_01,,Percent,,20.21
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_140501_02,,Percent,,11.98
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_140501_03,,Percent,,0.22
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_140501_04,,Percent,,1.8
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_140501_05,,Percent,,6.2
