Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2018,A,0,C,National_SDG_Report,Proportion des femmes au Gouvernement (%),,PT,2018,,13.0
2017,A,0,C,National_SDG_Report,Proportion des femmes à l'assemblée nationale (%),,PT,2020,,30.5
2020,A,0,C,National_SDG_Report,Proportion des femmes à l'assemblée nationale (%),,PT,2020,,33.9
2017,A,0,C,National_SDG_Report,Proportion des femmes à l'exécutif communal (Maire) (%),,PT,2017,,8.0
2017,A,0,C,National_SDG_Report,Proportion des femmes au sénat (%),,PT,2020,,20.0
2020,A,0,C,National_SDG_Report,Proportion des femmes au sénat (%),,PT,2020,,26.0
