Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2002,A,0,C,National_SDG_Report,SN_ITK_DEFC,,PT,2016,,30.8
2016,A,0,C,National_SDG_Report,SN_ITK_DEFC,,PT,2016,,9.9
