Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2013,A,0,C,National_SDG_Report,Unsentenced detainees as a proportion of overall prison population [16.3.2],,PT,2017,,60.1
2014,A,0,C,National_SDG_Report,Unsentenced detainees as a proportion of overall prison population [16.3.2],,PT,2017,,61.2
2015,A,0,C,National_SDG_Report,Unsentenced detainees as a proportion of overall prison population [16.3.2],,PT,2017,,55.8
2017,A,0,C,National_SDG_Report,Unsentenced detainees as a proportion of overall prison population [16.3.2],,PT,2017,,58.0
