Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,A,0,C,National_SDG_Report,_L_CM_160101_01,,F,PER_100000_POP,,192
2016,A,0,C,National_SDG_Report,_L_CM_160101_01,,F,PER_100000_POP,,117
2017,A,0,C,National_SDG_Report,_L_CM_160101_01,,F,PER_100000_POP,,202
2015,A,0,C,National_SDG_Report,_L_CM_160101_01,,M,PER_100000_POP,,669
2016,A,0,C,National_SDG_Report,_L_CM_160101_01,,M,PER_100000_POP,,670
2017,A,0,C,National_SDG_Report,_L_CM_160101_01,,M,PER_100000_POP,,802
2015,A,0,C,National_SDG_Report,_L_CM_160101_01,,,PER_100000_POP,,861
2016,A,0,C,National_SDG_Report,_L_CM_160101_01,,,PER_100000_POP,,787
2017,A,0,C,National_SDG_Report,_L_CM_160101_01,,,PER_100000_POP,,1004
