Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2002,Valeur Normale,Unité,C,National_SDG_Report,Prévalence de la sous-alimentation,,Pour cent,,30.8
2016,Valeur Normale,Unité,C,National_SDG_Report,Prévalence de la sous-alimentation,,Pour cent,,9.9
