From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,REF_AREA
SOURCE_DETAIL,SEX
SOURCE_DETAIL,URBANISATION
