Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2016,Valeur Normale,Unité,C,National_SDG_Report,Part des exportations du Cameroun dans les exportations mondiales (%),,Pour cent,,0.031
2017,Valeur Normale,Unité,C,National_SDG_Report,Part des exportations du Cameroun dans les exportations mondiales (%),,Pour cent,,0.028
2018,Valeur Normale,Unité,C,National_SDG_Report,Part des exportations du Cameroun dans les exportations mondiales (%),,Pour cent,,0.024
