Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2012,Normal value,Units,Country Data,National_SDG_Report,_L_CM_060601_01,,Hectares,,827060
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_060601_02,,Square kilometers,,20805
