Year,Reference area,Value
2014,,31.4
2014,ADAMAWA,38.8
2014,EAST,27.6
2014,FAR NORTH,60.4
2014,North,44.0
2014,North West,53.1
2014,West,26.3
2014,South,13.2
2014,South-West,25.5
2014,Centre Excluding Yaounde,20.3
2014,Littoral Excluding Douala,23.9
2014,Yaounde,6.6
2014,Douala,4.1
