Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Country Data,National_SDG_Report,_L_CM_170102_01,,Percent,,65.9
2017,Normal value,Units,Country Data,National_SDG_Report,_L_CM_170102_01,,Percent,,73.1
2018,Normal value,Units,Country Data,National_SDG_Report,_L_CM_170102_01,,Percent,,73.2
