Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,Sexe,UNIT_MEASURE,GeoCode,Value
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion d’adultes qui assurent se sentir globalement en sécurité (%),,Féminin,Pour cent,,23.9
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion d’adultes qui assurent se sentir globalement en sécurité (%),,Masculin,Pour cent,,30.3
2014,Valeur Normale,Unité,C,National_SDG_Report,Proportion d’adultes qui assurent se sentir globalement en sécurité (%),,,Pour cent,,26.9
