Year,SEX,URBANISATION,TIME_DETAIL,Value
2007,,,2021,39.9
2014,,,2021,37.5
2021,,,2021,38.6
2007,,R,2021,55.0
2014,,R,2021,56.8
2021,,R,2021,58.3
2007,,U,2021,12.2
2014,,U,2021,8.9
2021,,U,2021,16.5
2007,F,,2014,40.2
2014,F,,2014,37.7
2007,M,,2014,39.5
2014,M,,2014,37.2
