Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2016,A,0,C,National_SDG_Report,Proportion of domestic budget funded by domestic taxes [17.1.2],,PT,2018,,65.9
2017,A,0,C,National_SDG_Report,Proportion of domestic budget funded by domestic taxes [17.1.2],,PT,2018,,73.1
2018,A,0,C,National_SDG_Report,Proportion of domestic budget funded by domestic taxes [17.1.2],,PT,2018,,73.2
