Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,_L_CM_160b01_1,,,PT,2014,,48.0
2014,A,0,C,National_SDG_Report,_L_CM_160b01_1,,F,PT,2014,,46.4
2014,A,0,C,National_SDG_Report,_L_CM_160b01_1,,M,PT,2014,,50.5
2014,A,0,C,National_SDG_Report,_L_CM_160b01_2,,,PT,2014,,48.0
