Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,Sexe,UNIT_MEASURE,GeoCode,Value
2014,Valeur Normale,Unité,C,National_SDG_Report,Prévalence de la consommation actuelle de tabac chez les (15-49 ans) (%),,Féminin,Pour cent,,0.3
2014,Valeur Normale,Unité,C,National_SDG_Report,Prévalence de la consommation actuelle de tabac chez les (15-49 ans) (%),,Masculin,Pour cent,,11.0
