Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2016,Valeur Normale,Unité,C,National_SDG_Report,"Surface des aires protégées, en proportion de la surperficie nationale (%)",,Pour cent,,20.21
2016,Valeur Normale,Unité,C,National_SDG_Report,"Surface des aires protégées (ZIC et ZIC GC), en proportion de la surperficie nationale (%)",,Pour cent,,11.98
2016,Valeur Normale,Unité,C,National_SDG_Report,"Surface des aires protégées (Sanctuaires) , en proportion de la surperficie nationale (%)",,Pour cent,,0.22
2016,Valeur Normale,Unité,C,National_SDG_Report,"Surface des aires protégées (Réserves de faune), en proportion de la surperficie nationale  (%)",,Pour cent,,1.8
2016,Valeur Normale,Unité,C,National_SDG_Report,"Surface des aires protégées (Parcs Nationaux), en proportion de la surperficie nationale  (%)",,Pour cent,,6.2
