Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2009,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,,3.77
2010,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,,3.56
2011,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,,3.8
2012,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,,3.87
2013,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,,3.72
2014,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,,3.72
2015,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,,3.65
2016,A,0,C,National_SDG_Report,_L_CM_090b01_1,,PT,,3.89
