Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2016,Valeur Normale,Unité,C,National_SDG_Report,Proportion des petites entreprises ayant contracté un prêt bancaire à la création (%),,Pour cent,,5.3
2016,Valeur Normale,Unité,C,National_SDG_Report,Proportion des très petites entreprises ayant contracté un prêt bancaire à la création,,Pour cent,,3.1
