Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2011,A,0,C,National_SDG_Report,Proportion of children moderately or severely stunted [2.2.1],,,PT,2018,,32.5
2014,A,0,C,National_SDG_Report,Proportion of children moderately or severely stunted [2.2.1],,,PT,2018,,31.7
2018,A,0,C,National_SDG_Report,Proportion of children moderately or severely stunted [2.2.1],,,PT,2018,,29.0
2014,A,0,C,National_SDG_Report,Proportion of children moderately or severely stunted [2.2.1],,F,PT,2014,,29.8
2014,A,0,C,National_SDG_Report,Proportion of children moderately or severely stunted [2.2.1],,M,PT,2014,,33.5
