Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2016,Valeur Normale,Unité,C,National_SDG_Report,Part des recettes publiques dans le PIB (%),,Pour cent,,14.6
2017,Valeur Normale,Unité,C,National_SDG_Report,Part des recettes publiques dans le PIB (%),,Pour cent,,15.0
2018,Valeur Normale,Unité,C,National_SDG_Report,Part des recettes publiques dans le PIB (%),,Pour cent,,15.7
