Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,Sexe,Milieu de résidence,UNIT_MEASURE,GeoCode,Value
2014,Valeur Normale,Unité,C,National_SDG_Report,Taux d’alphabétisation des 15-24 ans (%),,,Urbain,Pour cent,,85.0
2014,Valeur Normale,Unité,C,National_SDG_Report,Taux d’alphabétisation des 15-24 ans (%),,,Rural,Pour cent,,48.0
2014,Valeur Normale,Unité,C,National_SDG_Report,Taux d’alphabétisation des 15-24 ans (%),,Féminin,,Pour cent,,68.0
2014,Valeur Normale,Unité,C,National_SDG_Report,Taux d’alphabétisation des 15-24 ans (%),,Masculin,,Pour cent,,83.0
2014,Valeur Normale,Unité,C,National_SDG_Report,Taux d’alphabétisation des 15-24 ans (%),,,,Pour cent,,80.0
2017,Valeur Normale,Unité,C,National_SDG_Report,Taux d’alphabétisation des 15-24 ans (%),,,,Pour cent,,83.0
2022,Valeur Normale,Unité,C,National_SDG_Report,Taux d’alphabétisation des 15-24 ans (%),,,,Pour cent,,83.3
