Year,Status de l'observation,Multiplicateur d'unité,NATURE,SOURCE_DETAIL,SERIES,Aire Geographique,UNIT_MEASURE,GeoCode,Value
2011,Valeur Normale,Milliers,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,Nombre,,1487
2012,Valeur Normale,Milliers,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,Nombre,,1451
2013,Valeur Normale,Milliers,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,Nombre,,1419
2014,Valeur Normale,Milliers,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,Nombre,,1559
2015,Valeur Normale,Milliers,C,National_SDG_Report,Nombre de passagers par voie ferroviaire (en milliers),,Nombre,,1663
2011,Valeur Normale,Unité,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,Tonnes,,1541
2012,Valeur Normale,Unité,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,Tonnes,,1617
2013,Valeur Normale,Unité,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,Tonnes,,1664
2014,Valeur Normale,Unité,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,Tonnes,,1664
2015,Valeur Normale,Unité,C,National_SDG_Report,Volume de fret par voie ferroviaire (en Tonnes),,Tonnes,,2113
