Year,SERIES,Value
2016,_L_CM_140501_1,20.21
2016,_L_CM_140501_2,11.98
2016,_L_CM_140501_3,0.22
2016,_L_CM_140501_4,1.8
2016,_L_CM_140501_5,6.2
