Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2011,A,0,C,National_SDG_Report,_L_CM_110101_1,,U,PT,,6.4
2014,A,0,C,National_SDG_Report,_L_CM_110101_1,,U,PT,,6.4
2011,A,0,C,National_SDG_Report,_L_CM_110101_1,,R,PT,,13.6
2014,A,0,C,National_SDG_Report,_L_CM_110101_1,,R,PT,,13.6
2011,A,0,C,National_SDG_Report,_L_CM_110101_1,,,PT,,10.2
2014,A,0,C,National_SDG_Report,_L_CM_110101_1,,,PT,,10.2
