Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2012,A,0,C,National_SDG_Report,_L_CM_060601_01,,HA,,827060
2016,A,0,C,National_SDG_Report,_L_CM_060601_02,,KM2,,20805
