Year,SDG Series,Value
2014,Primary energy consumed (Biomass) (%),64.4
2014,Primary energy consumed (Hydropower) (%),5.7
2014,Primary energy consumed (Fossil fuel) (%),30.0
2014,Primary energy consumed (Petroleum products) (%),22.5
2014,Primary energy consumed (Gas) (%),5.3
