Year,Observation status,Unit multiplier,Nature of data points,Source details,SERIES,Reference area,UNIT_MEASURE,Time period details,GeoCode,Value
2014,Normal value,Units,Country Data,National_SDG_Report,Energy intensity [ratio of primary energy to gross domestic product (GDP)],,Ratio,2015,,614.8
2015,Normal value,Units,Country Data,National_SDG_Report,Energy intensity [ratio of primary energy to gross domestic product (GDP)],,Ratio,2015,,598.5
